state_abr,state_uc,state_lc,country
AL,ALABAMA,Alabama,US
AK,ALASKA,Alaska,US
AZ,ARIZONA,Arizona,US
AR,ARKANSAS,Arkansas,US
CA,CALIFORNIA,California,US
CO,COLORADO,Colorado,US
CT,CONNECTICUT,Connecticut,US
DE,DELAWARE,Delaware,US
DC,,District of Columbia,US
FL,FLORIDA,Florida,US
GA,GEORGIA,Georgia,US
HI,HAWAII,Hawaii,US
ID,IDAHO,Idaho,US
IL,ILLINOIS,Illinois,US
IN,INDIANA,Indiana,US
IA,IOWA,Iowa,US
KS,KANSAS,Kansas,US
KY,KENTUCKY,Kentucky,US
LA,LOUISIANA,Louisiana,US
ME,MAINE,Maine,US
MD,MARYLAND,Maryland,US
MA,MASSACHUSETTS,Massachusetts,US
MI,MICHIGAN,Michigan,US
MN,MINNESOTA,Minnesota,US
MS,MISSISSIPPI,Mississippi,US
MO,MISSOURI,Missouri,US
MT,MONTANA,Montana,US
NE,NEBRASKA,Nebraska,US
NV,NEVADA,Nevada,US
NH,NEW HAMPSHIRE,New Hampshire,US
NJ,NEW JERSEY,New Jersey,US
NM,NEW MEXICO,New Mexico,US
NY,NEW YORK,New York,US
NC,NORTH CAROLINA,North Carolina,US
ND,NORTH DAKOTA,North Dakota,US
OH,OHIO,Ohio,US
OK,OKLAHOMA,Oklahoma,US
OR,OREGON,Oregon,US
PA,PENNSYLVANIA,Pennsylvania,US
RI,RHODE ISLAND,Rhode Island,US
SC,SOUTH CAROLINA,South Carolina,US
SD,SOUTH DAKOTA,South Dakota,US
TN,TENNESSEE,Tennessee,US
TX,TEXAS,Texas,US
UT,UTAH,Utah,US
VT,VERMONT,Vermont,US
VA,VIRGINIA,Virginia,US
WA,WASHINGTON,Washington,US
WV,WEST VIRGINIA,West Virginia,US
WI,WISCONSIN,Wisconsin,US
WY,WYOMING,Wyoming,US
AB,,Alberta,CAN
BC,,British Columbia,CAN
MB,,Manitoba,CAN
NB,,New Brunswick,CAN
NF,,Newfoundland,CAN
NT,,Northwest Terriroty,CAN
NS,,Nova Scotia,CAN
NU,,Nunavut,CAN
ON,,Ontario,CAN
PE,,Prince Edward Island,CAN
QC,,Quebec,CAN
SK,,Saskatchewan,CAN
YT,,Tukon Territory,CAN
NL,,Newfoundland,CAN
AE,,Armed Forces EU,AE
AP,,Armed Forces Pacific,AP
APO,,Army Post Office,APO
DPO,,Diplomatic Post Office,DPO
FPO,,Fleet Post Office,FPO
GU,,Guam,US
PR,,Puerto Rico,US
VI,,Virgin Islands,US
Shinjuku,,,JPN
Unknown,,,US
AUCHINCRUIVE,,,GB
WALTHAM ON THE WOLDS,,,GB
TOKYO,,,JPN